Отметка времени,"Единая учетная запись СПбГУ (например, ST000000)","Выберете интересующие Вас роли, в  IT [Бизнес и системный анализ]","Выберете интересующие Вас роли, в  IT [Дизайн UX / UI и проектирование интерфейсов]","Выберете интересующие Вас роли, в  IT [Анализ и инженерия данных]","Выберете интересующие Вас роли, в  IT [Backend - разработка]","Выберете интересующие Вас роли, в  IT [Frontend - разработка]","Выберете интересующие Вас роли, в  IT [Тестирование и обеспечение качества]","Выберете интересующие Вас роли, в  IT [Развертывание и внедрение]","Выберете интересующие Вас роли, в  IT [Управление командой / проектом]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Разработка веб-сервисов (сайты, сервисы)]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ текстов и поисковые движки]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ изображений / видео]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ временных рядов]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ табличных данных]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Робототехника (оборудование, теория управления, техническое зрение, интерфейсы)]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Gamedev]","Если в предыдущем вопросе для Вас не было интересного направления деятельности, расскажите нам об области, в которой Вы хотите развиваться","Если Вы уже работаете над интересным проектом или успешно завершили - опишите, что это за проект и свою роль в нем (можете добавить ссылку на репозиторий)","Оцените Ваши знания в области IT [Парадигмы программирования (ООП, функциональное, аспектно-ориентированное, и др.)]",Оцените Ваши знания в области IT [Архитектура ПО],Оцените Ваши знания в области IT [Паттерны проектирования],"Оцените Ваши знания в области IT [Протоколы коммуникаций (REST, gRPC, и др.)]",Оцените Ваши знания в области IT [Алгоритмы и структуры данных],Оцените Ваши знания в области IT [Потоки и параллельность],Оцените Ваши знания в области IT [Linux in dev and administration],Оцените Ваши знания в области IT [Windows in dev and administration],Оцените Ваши знания в области IT [Проектирование и оптимизация баз данных],Оцените Ваши знания в области IT [Data Science and Machine Learning],"Какими еще знаниями Вы владеете, релевантными для IT-отрасли и в какой степени? Перечислите их и оцените","Языки программирования (например: C++, Python, Java, etc)","Библиотеки и фреймворки для различных направлений использования (например: Qt, Numpy, Weka, Angular, PyTorch, etc)","Инструменты для проектирования, бизнес и системного анализа (например: BPMN, UML, Archimate, ARIS etc)","Инструменты для разработки ПО - например: VS Code, PyCharm, Git, etc)","Инструменты для тестирования  (например: GTests, Selenium, Gatling, pytest etc)","Инструменты CI / CD (например: Jenkins, Travis CI, Docker, etc)","Инструменты для управления проектами (например: Jira, Trello, MS Project, etc) ","Аналитические навыки [Поиск информации (научные статьи, документация)]",Аналитические навыки [Сбор и анализ требований к ПО],Аналитические навыки [Декомпозиция задач],Аналитические навыки [Планирование своей и чужой деятельности],Аналитические навыки [Тестирование],Аналитические навыки [Ведение документации],SoftSkills [Self management],SoftSkills [Коммуникации],SoftSkills [Работа в команде],SoftSkills [Наставничество],SoftSkills [Управление людьми],Какими еще навыками в области IT Вы обладаете? Оцените данные навыки,Оцените Ваш уровень мотивации [К работе над интересными проектами],Оцените Ваш уровень мотивации [Определить свой путь дальнейшего развития и развиваться в IT],Оцените Ваш уровень мотивации [Устроиться на интересную для себя работу],"Хотите ли Вы общаться с другими студентами и выпускниками, заинтересованными в развитии в области IT на базе СПбГУ на интересующие Вас темы?","Что Вам поможет развиваться быстрее в том направлении деятельности, которое Вы выбрали?"
9/4/2023 0:11:31,ST110863,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,,,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,,"Python - 3
SQL - 3","Numpy, pandas - 2",UML - 1,"VS Code - 3
PyCharm - 2",Pytest- 3,"GitHub Actions -3
Docker -2",,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел",Хорошо,Отлично,Отлично,Нормально,Хорошо,,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,Практика
9/4/2023 0:17:44,ST115979,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",,,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,0 - Не знаю,4 - Применял в проекте в команде,2 - Изучал информацию и частично разобрался,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",,"C# - 5
C++ - 4
Python - 4","Numpy - 4
Seaborn - 3
Pandas - 4
Qt - 3","BPMN - 4
UML - 4","Visual Studio - 5
VS Code - 5
PyCharm - 5
Git - 4",,Docker - 1,MS Project - 1,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,Хорошо,Хорошо,Хорошо,Хорошо,Нормально,,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Да,Советы опытных специалистов и чтение научных статей/книг
9/4/2023 0:32:40,ST068863,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,,,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,4 - Применял в проекте в команде,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,4 - Применял в проекте в команде,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,,"С++ - 3
Python - 5 ","Numpy - 5
Pytorch - 5",,"Pycharm - 4
Git - 4",pytest - 4,GitHub actions - 4,YouTrack - 4,5 - Могу обучать других и давать советы,5 - Могу обучать других и давать советы,5 - Могу обучать других и давать советы,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,Отлично,Отлично,Хорошо,Отлично,Хорошо,,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,Да,
9/4/2023 0:35:23,ST106375,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,,,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,3 - Пробовал на практике в простых задачах,0 - Не знаю,0 - Не знаю,0 - Не знаю,0 - Не знаю,3 - Пробовал на практике в простых задачах," линейная алгебра 2
, Я прошлa курсы Google Data Science + Machine learning (знаю основы но нет опыта) 3","Python 2
","Numpy 2
Matplotlib 2
scikitlearn 2
pytorch 2

","excel 2 
sql 2","google colab 2
vs code 1
pycharm 2 
git 1",,,,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,0 - Не знаю,"1 - Слышал, но не применял",0 - Не знаю,0 - Не знаю,Хорошо,Нормально,Хорошо,Ниже среднего,Ниже среднего,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,У меня нет опыта но хочу работать в сфере ИТ поэтому человек который поможет мне и объясняет что надо делать дальше. и я готова делать все я могу!
9/4/2023 0:51:36,ST068010,"Интересно, можно попробовать","Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,"Интересно, можно попробовать",,,4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,,"C++ - 3,  Python - 4","Numpy - 5, Pandas - 3, Pyspark - 2, Tensorflow - 2, PyTorch - 2",,"PyCharm - 4, Git - 4, VS Code - 4",,Docker - 2,,3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял","1 - Слышал, но не применял","2 - Пробовал, и частично овладел","1 - Слышал, но не применял","1 - Слышал, но не применял",Нормально,Нормально,Нормально,Нормально,Нормально,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",5 - Готов сам стать мотиватором для других,Да,
9/4/2023 0:51:59,ST068068,"Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,Веду исследование по теме анализа и предсказания эмоций игрока в видеоиграх,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,"Работаю в геймдеве: геймдизайн, прототипирование и написание комплексных систем.","C# - 4
Python - 3
C++ - 2
R - 2","Numpy - 4
Sklearn - 4
PyTorch - 3
TensorFlow - 3
Matplotlib - 3",,"PyCharm - 5
VS Code - 4
Perforce - 4
Git - 4","Pytest - 3
Hypothesis - 3",Decker - 3,"Jira - 5
Confluence - 4",4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,5 - Могу обучать других и давать советы,5 - Могу обучать других и давать советы,3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,Нормально,Отлично,Отлично,Хорошо,Хорошо,,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,Увеличение использования инструментов на основе машинного обучения в сфере разработки игр (появление бизнес-запросов и специалистов-менторов)
9/4/2023 1:21:03,ST069751,Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,,,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,2 - Изучал информацию и частично разобрался,0 - Не знаю,0 - Не знаю,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,,"С++ - 4
Python - 4
C# - 4
JavaScript - 2
R - 2
SQL - 3","Qt - 1
Numpy - 4
PyTorch - 1
Matplotlib - 3
Pandas - 3
ANTLR - 3",UML - 1,"VS Code - 4
PyCharm - 4
Git - 4
Visual Studio - 4",Pytest - 2,Docker - 2,"Trello - 2
Azure DevOps Server - 3",3 - Искал доп информацию и пытался прокачаться,0 - Не знаю,0 - Не знаю,"1 - Слышал, но не применял","1 - Слышал, но не применял",0 - Не знаю,Хорошо,Хорошо,Хорошо,Хорошо,Хорошо,,4 - Готов выполнять задания на благо команды,0 - Не хочу,4 - Готов выполнять задания на благо команды,Да,"Свободное время, деньги"
9/4/2023 1:53:25,ST115982,Не интересно,Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,"Дополнительно изучаю разработку игр на unity в школе ""ЯЮниор"". Работаю над выпускным проектом, тут все мои работы https://github.com/IvanTea71",4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,0 - Не знаю,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,0 - Не знаю,3 - Пробовал на практике в простых задачах,,"Python - 2
C++ - 2
C# - 4
Java - 1","Numpy - 2
Pandas - 2
Matplotlib - 2",,"Visual Studio - 4
Pycharm - 2
Git - 2
Unity - 4",,,,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","1 - Слышал, но не применял","1 - Слышал, но не применял",Нормально,Нормально,Нормально,Нормально,Плохо,,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Нет,
9/4/2023 3:58:15,ST112436,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать",,,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,4 - Применял в проекте в команде,,Python,Numpy,UML,VS Code,GTests,Docker ,Jira,5 - Могу обучать других и давать советы,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел",4 - Постоянно применяю в работе и хорошо знаю теорию,Отлично,Отлично,Отлично,Отлично,Отлично,,5 - Готов сам стать мотиватором для других,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Да,
9/4/2023 4:16:09,ST112436,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать",,,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,,Python,Qt,UML,VS Code,GTests,Docker ,Jira,5 - Могу обучать других и давать советы,5 - Могу обучать других и давать советы,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,5 - Могу обучать других и давать советы,Отлично,Отлично,Отлично,Отлично,Отлично,AutoCAD,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Да,
